epsilon,Average Cost,Cost variance,Time taken
0,4.769527984,3.18731678877177E-30,0
0.02,5.0719107920796,0.190362775233622,1.923388644
0.04,6.01230427260912,1.07520035742572,1.829734542
0.06,7.36441840060486,2.81508533130885,1.909651626
0.08,9.53773989693465,6.53833496291634,1.853200498
0.1,12.1433435840707,15.9381758400403,1.761906294
0.12,15.2256586922392,27.0266599583701,3.589447954
0.14,19.5258001124573,49.0578100861423,0.124185474
0.16,24.8359721786979,87.0743443970515,0.115082838
0.18,29.2981945791323,133.361464840581,0.1168866
0.2,34.5432555303135,181.939842314304,0.117980298
0.4,126.740244153059,3646.54725951618,0.127657556
0.6,286.308572026324,14704.3963986868,0.133198138
0.8,496.121210204724,47295.8901237981,0.135904564
1,786.932772244777,123774.488938107,0.131699348
