epsilon,Average Cost,Cost variance,Time taken
0.0,4.830660292921791,7.888609052210118e-31,5.651371097564697
0.2,5.057491805495207,0.1962872800403165,5.645749754905701
0.4,5.780048130587094,0.7319451449290851,5.642587492465973
0.6,6.986335293653857,1.8425012726652343,5.655660364627838
0.8,8.797189183777967,6.635494820488987,5.669571402072907
1.0,11.177422254642002,11.555775704868692,5.65603042602539
1.2,14.224763879760125,18.875634621183114,5.094499547481536
1.4,16.43151184869787,41.12954689778359,5.094017837047577
1.6,22.064254933487977,59.66940758972475,5.099692771434784
1.8,26.375757027381574,75.88205366209554,5.124682638645172
2.0,30.992055143479277,116.1944852163485,5.158148910999298
4.0,104.53434235647563,1554.7430844330202,5.110939342975616
6.0,241.29918468530067,10090.946362703136,5.165754654407501
8.0,485.88276993079654,82409.28327454274,5.138680546283722
10.0,1190.498695824862,5418665.403125432,5.101918025016785
