epsilon,Average Cost,Cost variance
DP,2.0,33.417678634265506,149.74215920009507
LQR,2.0,33.10055426007934,152.09311288088387
DP,4.0,120.37027779308721,2236.359741530557
LQR,4.0,113.62406781337157,2024.9459299874518
DP,6.0,267.86737526159527,20228.33461660966
LQR,6.0,265.89005661913365,13337.44322810918
DP,8.0,963.1375324639671,7199461.716196686
LQR,8.0,472.8328304252566,38139.02080250622
DP,10.0,5014.354179222863,654238417.8546505
LQR,10.0,753.6168302470837,122900.4984090689
DP,12.0,23584.966286541527,4251474656.525231
LQR,12.0,1070.8671269919603,208486.00473640184
DP,14.0,42637.12473286593,10629095488.529156
LQR,14.0,1432.9102215312344,405503.7496267486
DP,16.0,46442.002679089244,4946016340.932623
LQR,16.0,1877.7229118171695,629936.2168485036
DP,18.0,134089.37514436728,77369503687.83432
LQR,18.0,2317.209824956114,745270.2258337213
DP,20.0,253370.41901022065,178261137518.3818
LQR,20.0,2987.4561142700804,1640006.315723951
