epsilon,Average Cost,Cost variance,Time taken
0,4.8306602929,7.89E-31,14.2960826802
0.02,5.02489406730722,0.177613773296545,1.36322726011276
0.04,5.88218771726353,0.847752299837723,1.34563631772995
0.06,7.50533089802502,3.16611024548258,1.31848776435852
0.08,9.4506171170044,7.77579150942488,1.31773075246811
0.1,12.0491308428132,16.0844184006736,1.35007285785675
0.12,15.3263073195535,29.4814189516392,1.40698194789886
0.14,18.7797318326283,45.3609537816459,1.4720635843277
0.16,22.9251896003864,72.0194502134666,1.47150973272324
0.18,28.8231332302275,136.847701006975,1.42820146942139
0.2,33.8198672226872,165.356733193262,1.39181213665009
0.4,122.816994337336,2768.87681973013,1.54171155452728
0.6,291.505991788032,33049.5222705153,1.5740096821785
0.8,619.704672644526,625446.132799306,1.49349167728424
1,1929.21822752846,28167800.9893168,1.45862524795532
