epsilon,Average Cost,Cost variance,Time taken
0.01,1817.44213672809,108.728865272767,0.00792081
0.02,1826.39246625035,444.132513308766,0.007939824
0.03,1839.38881784157,1013.1063978719,0.007986096
0.05,1880.93884668841,3464.32770940365,0.007986416
0.06,1905.35425820462,5072.34948364396,0.007956534
0.07,1947.70188821383,9828.41923674888,0.008001832
0.08,1983.21894759859,12835.2744092899,0.008010446
0.09,2039.98717506496,19113.4454147968,0.00802923
0.1,2066.64156045755,23488.5285074594,0.007958212
