epsilon,Average Cost,Cost variance,Time taken
0.01,1818.25603213122,116.380187633634,0.007748816
0.02,1827.62262182439,545.358167661244,0.007654744
epsilon,Average Cost,Cost variance,Time taken
0.03,1843.6248991431,1422.81988561743,0.007781316
0.05,1893.64079459115,6660.78503969553,0.00777159
0.07,1974.5073817603,30147.177189776,0.0077558
0.1,750401.253045083,279932692296050,0.007752828
0.2,451117835.789515,7.31934590024672e+19,0.007862986
epsilon,Average Cost,Cost variance,Time taken
0.08,2027.48858146808,56117.0336050984,0.007769146
0.09,2078.95046952946,73512.9906821303,0.007834894
