epsilon,Average Cost,Cost variance,Time taken
2,33.4176786342655,149.742159200095,0
4,120.370277793087,2236.35974153056,1
6,267.867375261595,20228.3346166097,2
8,963.137532463967,7199461.71619669,3
10,5014.35417922286,654238417.854651,4
12,23584.9662865415,4251474656.52523,5
14,42637.1247328659,10629095488.5292,6
16,46442.0026790892,4946016340.93262,7
18,134089.375144367,77369503687.8343,8
20,253370.419010221,178261137518.382,9
