epsilon,Average Cost,Cost variance,Time taken
0,4.76952798401689,3.18731678877177E-30,0
0.2,5.06966272354322,0.21610070154892,0
0.4,6.03941478465249,0.921063363341215,0
0.6,7.55186034070614,3.47873638651084,0
0.8,9.71201096333437,9.22298740594962,0
1,12.7876357351911,11.5173416754766,0
1.2,15.661931740626,30.4980334208435,0
1.4,19.4796379391551,68.9539023410375,0
1.6,26.7321384692517,111.791957078149,0
1.8,28.2512237631864,134.50241732115,0
2,34.0232661312413,212.166192526488,0
4,123.994853952222,2881.16785774501,56.98397618
6,293.250261982868,17736.1152642046,61.70974252
8,478.916432129268,51708.6499504293,64.65443272
10,799.04859204929,130777.035079524,64.93530854
