epsilon,Average Cost,Cost variance,Time taken
2,33.1005542600793,152.093112880884,0
4,113.624067813372,2024.94592998745,0
6,265.890056619134,13337.4432281092,0
8,472.832830425257,38139.0208025062,0
10,753.616830247084,122900.498409069,0
12,1070.86712699196,208486.004736402,0
14,1432.91022153123,405503.749626749,0
16,1877.72291181717,629936.216848504,0
18,2317.20982495611,745270.225833721,0
20,2987.45611427008,1640006.31572395,0
